corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOD1005	649-0	649-0|649-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2616805&end=2617225	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	// sono devastanti no perché ti dicono // ciò che non puoi fare // danno eh un limite // alla conoscenza possibile //	va bene?	// quindi non puoi stabilire se l'' aritmetica è consistente o meno utilizzando strumenti tanto forti quanto quelli
KIP	BOD1005	661-2	661-2|661-3	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2664687&end=2669442	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	_	Filler	_	per dirvi che uno studio teorico delle deduzioni // vabbe è centrale ecco è centrale // nell'' atività eh // della logica	va bene	dove voi avete visto una formula molto piccola ma almeno // un'' idea // ve la siete fatta // va bene eh dunque io direi a
KIP	BOD1005	686-2	686-2|686-3	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2750078&end=2752674	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	_	Filler	_	// scusate c'' è una domanda // // al test? // allora in genere guardate // al test eh voi avrete // eh non so // dei foglietti	va bene	con tutte le domande // e poi in genere mettiamo due fogli bianchi comunque // qua potete usare il retro dei fogli insomma
KIP	BOD1005	772-14	772-14|772-15	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=3117509&end=3126907	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	è un ripasso // va bene? // e come dire vi semplicemente metto in evidenza un utilizzo di quelle equivalenze logiche	va bene?	è solo un utilizzo di quelle equivalenze // eh allora // eh per esempio l'' axx seguente // oh // che se noi abbiamo // una eh
KIP	BOD1005	787-10	787-10|787-11	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=3174163&end=3178753	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	mi serve a che co~ a portare // a portare davanti i quantificatori // li passo cos~ va bene piano piano li porto avanti	va bene?	// quindi ci sono se ho un non esiste un ics tale che ci questo è equivalente a per ogni ics non ci // è vero che l''
KIP	BOD1005	795-0	795-0|795-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=3224147&end=3224685	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	ics a // e per ogni ics a // e bi no? quindi attenzione per ogni finisce qui eh quindi qui il connettivo principale è una e //	va bene?	// eh questo è logicamente equivalente // a per ogni ics a xx // anche qui eh notate bene se voi fate // l'' albero di
KIP	BOD1005	843-0	843-0|843-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=3438772&end=3439267	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	quindi se avete un esistenziale sull'' antecedente di un'' implicazione lo portate davanti // ma diventa universale //	va bene?	// se avete invece un esistenziale // se avete a implica esiste un ics tale che bi // questo è logicamente equivalente a
KIP	BOD1005	931-0	931-0|931-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=3845655&end=3846316	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma|Richiesta di attenzione	_	_	quantificatori in questo caso tutti esistenziali perché è venuto così eh non è che ci avessi pensato o lo volessi fare //	va bene?	// seguita da una formula // in linguaggio erre zero // però // andiamo oltre se ora io vi dicessi si lo so però questa
KIP	BOD1005	980-5	980-5|980-6	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=4098521&end=4101989	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma|Richiesta di attenzione	_	_	di trovarne uno // eh // okay // mettiamo questa in forma normale prenessa // appena come antecendente una congiunzione	va bene?	// che mi implica questo questo c'' ha già il quantificatore fuori vabbè // quindi deve venir fuori un enunciato con tre
KIP	BOD1005	1005-0	1005-0|1005-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=4385709&end=4386561	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di attenzione	_	_	ci sono xx // allora // eh lei // ha fatto qualcosa? no // guardate son tutte regole che servono solo per portare fuori //	va bene?	// allora cominciamo // eh // quale da quale quantificatore volete cominciare qui capite questi non sono
KIP	BOD1005	1047-9	1047-9|1047-10	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=4718498&end=4725359	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di attenzione	_	_	avanti là xx lei intanto che scrivo il prefisso // xxxx xxx // vedete l'' esigenza sentita dalla signorina è fondamentale	va bene?	// è fondamentale cioè grazie mille va tutto bene // è fondamentale cioè l'' esigenza di portare la negazione sugli a //
KIP	BOD1005	1056-27	1056-27|1056-28	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=4774170&end=4784885	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	atomi me ne sono quasi liberata perché io ho gli atomi e la negazione degli atomi e poi combino con gli operatori end e o	va bene?	// allora // eh // voi eh // avete una serie di tautologie notevoli // che proprio vi dicono come fare per portare le
KIP	BOD1005	1070-0	1070-0|1070-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=4838557&end=4838944	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	// poi con de morgan le porta dentro // quando poi ne ha due // due di seguito // le elimina perché non non ha equivalenze //	va bene?	// quindi vedete che alla fine // voglio dire eh // questo nostro enunciato quassù // va bene? // comincia a avere una
