corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	TOD1014	3623-1	3623-1	TO068	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1014&begin=9858649&end=9864604	lecture	02:53:11	1	asymmetric	no	fixed	2019	TO	2-Professionals	F	sicilia	36-40	no	_	_	_	xxx protagoniste sono molto importanti per influenzare // xxx influenzano la moda // alla stregua dei designer // anzi	direi	che sono più importanti le serie i personaggi delle serie o le celebrity su instagram // che i designer ormai // infatti i
ParlaBO	PBB022	2-4	2-4	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=3530&end=7980	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	yes	_	_	Modulazione del grado di confidenza|Approssimazione	// si // xx x xx xx // erano buoni poi questi mandarini // okay // allora in che zona di bologna vivi? // eh dunque nord ovest	direi	eh vicino alla san~ basta? // no no no no // // no no no no no spengo solo lo schermo perchè mi dà fastidio // di già ha già
ParlaBO	PBB025	64-2	64-2	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB025&begin=253780&end=256550	semistructured-interview	00:45:12	2	asymmetric	yes	fixed	2023	BO	0-Students	F	_	21-25	yes	_	Introduzione o ripresa del topic	_	cioè mh no~ non so rispondere esattamente a questa domanda perchè // non è un problema non è un problema // eh eh // allora e	direi	invece // per quanto riguarda e bologna sempre // sappiamo che è ricca di manifestazioni ed eventi generalmente no?
ParlaBO	PBB025	376-0	376-0	BOI092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB025&begin=1230233&end=1231233	semistructured-interview	00:45:12	2	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	51-55	no	_	_	_	quando posso // okay // faccio un po'' su e giù // e pensi sia dovuto al fatto che anche il clima sia cambiato ultimamente //	direi	di sì // e io scappo dalla pianura perchè // c''è un gran caldo qui // e tutta esposta a sud // quindi ho una casa veramente
ParlaBO	PBB009	788-2	788-2	BOI027	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=1967947&end=1969487	semistructured-interview	01:12:38	3	asymmetric	yes	fixed	2022	BO	2-Professionals	M	_	31-35	yes	_	_	Intensificazione	sono gli aspetti proprio più quello dell''orgoglio personale è un aspetto che incide molto // sì // sì sì // eh tantissimo	direi	// e okay quindi mi hai detto che visto lavori qua a bologna cioè vivi a bologna sostanzialmente // sì sì vivo a bologna //
ParlaBO	PBC009	197-7	197-7	BOI023	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC009&begin=693294&end=699157	semistructured-interview	01:36:37	3	asymmetric	yes	fixed	2022	BO	0-Retired	F	_	71-75	no	_	_	_	quindi di quei trent''anni credo di saperne il sape~ il sapibile // ah // // quindi faccio una somma insomma comunque sì	direi	di conoscere bologna molto // mhmh // xx // io direi che // anche per me il centro è un riferimento che ho cominciato a
ParlaBO	PBC009	200-1	200-1	BOI022	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC009&begin=702824&end=703882	semistructured-interview	01:36:37	3	asymmetric	yes	fixed	2022	BO	0-Retired	M	_	71-75	no	_	_	_	il sapibile // ah // // quindi faccio una somma insomma comunque sì direi di conoscere bologna molto // mhmh // xx // io	direi	che // anche per me il centro è un riferimento che ho cominciato a conoscere // mano a mano che dalle medie sono andato alle
ParlaBO	PBC009	699-16	699-16	BOI022	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC009&begin=2904120&end=2912160	semistructured-interview	01:36:37	3	asymmetric	yes	fixed	2022	BO	0-Retired	M	_	71-75	no	_	_	_	sua attività è il lavoro con le scuole // mh // legato proprio però al territorio e ai luoghi di cui eh parlavamo prima ecco	direi	che // poi abbiamo avuto come sempre ci vuole fortuna abbiamo // delle insegnanti stupende // xxx delle insegnanti con
ParlaBO	PBC009	1268-2	1268-2	BOR002	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC009&begin=5790890&end=5792520	semistructured-interview	01:36:37	3	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	volontà quella firma // n~ non // però i problemi ci sono c~ si vedono un po'' anche adesso i problemi ecco // bene io	direi	che // xx // per però non si finisce davvero di studiare che bello // xxx // xxx // allora // inizio subito chiedendole in
ParlaBO	PBC007	12-7	12-7	BOI019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC007&begin=27910&end=31541	semistructured-interview	01:02:55	2	asymmetric	yes	fixed	2022	BO	0-Retired	F	_	over 85	yes	_	Filler	_	son cinquant''anni che abi~ sessant''anni // che abito in questo quartiere // mhmh // un quartiere che è diventato anche	direi	// eh più abitato di quando io abitavo qui // perché son state costruite poi tante case eh // quando sono arrivata questa
ParlaBO	PBC007	57-2	57-2	BOI019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC007&begin=144178&end=146888	semistructured-interview	01:02:55	2	asymmetric	yes	fixed	2022	BO	0-Retired	F	_	over 85	yes	_	_	Attenuazione	le ancora ce ne sono // sì // quindi ecco è una cosa più legata qua al quartiere più che a questa via anzi // sì sì sì sì // sì sì	direi	un po'' di meno da noi un po'' di meno // comunque è un un quartiere molto vivo perchè // eh coi portici // sì // diventa una una
ParlaBO	PBC007	69-0	69-0	BOI019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC007&begin=170950&end=172030	semistructured-interview	01:02:55	2	asymmetric	yes	fixed	2022	BO	0-Retired	F	_	over 85	yes	_	_	Approssimazione	mhmh // con con la città // anche xx // con la città da da dal dal dal centro // alla periferia // dal centro abitato // alla //	direi	quasi // anche alla collina la co~ la campagna // però adesso che ha parlato di portici lei scusi da quanti anni è che abita
ParlaBO	PBA002	140-4	140-4	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA002&begin=292750&end=295010	semistructured-interview	00:27:58	3	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	yes	_	_	Modulazione del grado di confidenza	// e invece // bologna è piccolina adesso // beh rispetto ad altre sì // sì in effetti // mh sì // quindi beh siete contenti	direi	qui // e ecco una cosa che volevo che volevo chiedervi visto che comunque siete anche diciamo avete più o meno la mia la mia
