corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPC009	439-1	439-1|439-2	PKP090	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=966972&end=969828	free-conversation	01:04:17	3	symmetric	no	free	2022	PG	0-Students	F	umbria	21-25	no	_	_	_	eh infatti io volevo prende ''l prosecco xxx de spritz // io gli ho detto prov~ cambia gli ho detto prendi undrink // invece	me sa	che è buono e non l''ho mai sentito // ma prendi la prossima volta che ci vai el pink pink spritz che è una cosa buonissima //
KIPasti	KPC009	461-0	461-0|461-1	PKP090	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=1013363&end=1014989	free-conversation	01:04:17	3	symmetric	no	free	2022	PG	0-Students	F	umbria	21-25	no	_	_	_	me ispira // però invece io sempre spritz spritz spritz che poi // si chiama hugò ? // hugo // hugo // ugio ? // acca u gi o //	me sa	che manca la acca // acca u~ // l''è sentito ? // no // non lo so // quindi colla acca ? // eh in teoria si // si // okay // però
KIPasti	KPC009	844-1	844-1|844-2	PKP090	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=1732626&end=1743100	free-conversation	01:04:17	3	symmetric	no	free	2022	PG	0-Students	F	umbria	21-25	no	_	_	_	un barrettino davanti lì accanto ? lì c''ero andata con la paola // un bar lì accanto // si si s''era andati a fa'' // io no // io	me sa	che avevo preso uno spritz la paola aveva preso un analcolico che me sembra che era tutto verde e non gli riusciva a berlo
KIPasti	KPC009	1394-1	1394-1|1394-2	PKP090	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=2901652&end=2904770	free-conversation	01:04:17	3	symmetric	no	free	2022	PG	0-Students	F	umbria	21-25	no	_	_	_	èvecchio // io non so se ci s''è mai stata // un po'' bionda // ci n''è tante me lè // che ne so // eh ma comunque ho capito // #eh	me sa	che non so se è la citta de xxx // mh se va alla grande // a te te l''aveva raccontato no tu c''eri // xxx // no chi è che c''era?
KIPasti	KPN015	572-1	572-1|572-2	PKP057	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN015&begin=1844010&end=1845710	free-conversation	00:38:02	3	symmetric	no	free	2020	RE	0-Students	F	emilia-romagna	21-25	no	_	_	_	il bicchiere vuoto dà questa // ma anche anche anche questo qua alla fine sotto in mezzo al misto di roba che senti // per	me sa	anche di biscotto // sai tipo l''odore dei cantucci? che ha quell''odore // sì sì // tipo ma~ quei quei gusti un po'' di di
KIPasti	KPC011	938-1	938-1|938-2	PKP147	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC011&begin=1740278&end=1741839	free-conversation	00:51:28	3	symmetric	no	free	2024	AR	0-Students	F	umbria	21-25	no	_	_	_	mh // xx // mi sa che ci stanno un pezzo // sì penso de sì // urca // dice che c''è // no questa non te la dico nonna // // xxxx // che	me sa	che te fa un po'' schifo // no // no che c''hanno a rifà le fognature e no niente // mh // oh scherzi? // beccano qualche //
KIPasti	KPC011	974-2	974-2|974-3	PKP147	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC011&begin=1797271&end=1799407	free-conversation	00:51:28	3	symmetric	no	free	2024	AR	0-Students	F	umbria	21-25	no	_	_	_	che andava fatto quel lavoro perché per co~ s~ scoperchiare in quella maniera vuol di'' che // se vede c''ha bisogno // sì	me sa	che era una fogna un po'' vecchia // eh che stra vecchie quelle xx // eh // eh // quand''han rifatto il corso tutto con le
KIPasti	KPC011	1563-0	1563-0|1563-1	PKP148	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC011&begin=2845878&end=2848994	free-conversation	00:51:28	3	symmetric	no	free	2024	AR	0-Retired	M	toscana	81-85	no	_	_	_	pensato // ma poi questo gonfia // quando lo metti là gonfia tantissimo ce ne devi mettere veramente poco per volta //	me sa	che dev''esse'' quassù in cima la data di scadenza // secondo me nonna // non scade // mh non ha d~ devo guardare più pacchi
KIPasti	KPC004	538-3	538-3|538-4	PKP027	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC004&begin=1125695&end=1128649	free-conversation	00:26:41	2	symmetric	no	free	2023	RM	4-Clerical-Workers	M	lazio	26-30	no	_	_	_	// come dentro un quadro di chagall // mado'' però xx // credo che è l''unica canzone di x factor che mi ricordo // eh // me sa ah	me sa	che era quella de anastasio quando stava ad x factor ve'' // e allora pure quella di anastasio mi ricordo // sì i~ // (canta
KIPasti	KPC007	335-3	335-3|335-4	PKP063	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC007&begin=604932&end=607100	free-conversation	00:48:38	3	symmetric	no	free	2021	AN	0-Students	M	marche	21-25	no	_	_	_	sono delusa // sì // ecco perchè non c''era nessuno // però questo non me dispiace eh // è abbastanza leggero xx // eh boh non	me sa	de tanto // eh un pochino più di è un po'' scialbo // eh me pare che qui non gli piace le robe saporite // ''namo a fa'' dolcetto o
KIPasti	KPC007	1023-4	1023-4|1023-5	PKP063	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC007&begin=1885778&end=1888100	free-conversation	00:48:38	3	symmetric	no	free	2021	AN	0-Students	M	marche	21-25	no	_	_	_	morirete prima di me // xx // xx // sono adulti tu sei giovani speriamo che muoiano prima di te // fatto sta che poi	me sa	che il padre gli ha fatto togliere tutto // però è strano è strano mamma mia dicevo questa ragazza che andava
KIPasti	KPC007	1175-12	1175-12|1175-13	PKP068	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC007&begin=2104324&end=2108602	free-conversation	00:48:38	3	symmetric	no	free	2021	AN	0-Students	F	marche	21-25	no	_	_	_	rossi // ha trent''anni // rossi è del novantuno // novantuno e andava in classe coi novantadue e toni è novantatrè perchè	me sa	che è n''anno // indietro a rossi // okay esatto okay // e quindi scusa? // no e quindi una volta ero uscito con matt il
