corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPC002	330-18	330-18	PKP094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=776726&end=782020	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	2-Professionals	M	_	51-55	no	_	_	_	// tramite loro // no l''unico potrebbe essere jakob ~ste cose si fa difficili ho pensato subito guarda chiamo jakob e	sai	cosa gli dico // eh infatti // ma scusa eh gli chiedi mi mi dai mi dai l''indirizzo della posta a parte no se c''è già ma chi se ne
KIPasti	KPC002	622-1	622-1	PKP056	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=1427123&end=1428205	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	2-Professionals	F	_	51-55	no	_	_	_	// io l''ho mangiato // tra l''altro di quelle cose che ho portato è f~ è l''u~ uhm è v~ c''è c''è rimasto solo questo no? // sì // lo	sai	cosa? // occhio ti tagli un dito ora però // no vabbè dai questo mangialo tu // // oddio stasera avrei bisogno di un film
KIPasti	KPC002	745-2	745-2	PKP056	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=1671330&end=1676083	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	2-Professionals	F	_	51-55	yes	Richiesta di accordo/conferma	Introduzione o ripresa del topic	_	che la pallavolo è anche pericolosa // esatto // per il fatto che toccano tutte la stessa palla // bravo ecco // sì ma	sai	teoricamente basta che basterebbe che non si toccassero la barba // xx // basterebbe che tra tra un palleggio e
KIPasti	KPC002	758-11	758-11	PKP056	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=1707194&end=1712538	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	2-Professionals	F	_	51-55	no	_	_	_	male // // vieni vieni // quindi però dopo si lavano però è vero cioè // mh dice anche la serie a anche di pallavolo così	sai	come fanno a andare avanti? // come la mh il calcio // cioè gli fanno un tampone // no un sierologico cinque giorni prima e
KIPasti	KPC002	884-0	884-0	PKP093	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=1995630&end=1999972	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	0-Students	M	_	21-25	yes	Interruzione	Introduzione o ripresa del topic	_	// e stanno facendo didattica a distanza integrata // ma la gente in quarantena sta a casa? // stan~ eh eh oh ma scherzi //	sai	tipo lorenzo ros~ no perché lorenzo rossini l''hanno mandato in un hotel a siena // sì lui è andato in un ehm covid hotel // e
KIPasti	KPC002	897-4	897-4	PKP093	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=2017768&end=2018851	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	0-Students	M	_	21-25	no	_	_	_	// era l''hanno mandato da solo in questo albergo // anche perché lui qualche sintomo l''ha avuto eh // ma te cosa ne	sai	// eh me l''ha detto la madre // ma la xxxx // eh ve~ eh // eh eh eh se lo sa // eh magari // voi che non lo sappia // eh // mah // lui
KIPasti	KPC002	1151-6	1151-6	PKP093	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=2475328&end=2477652	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	0-Students	M	_	21-25	no	_	_	_	invece secondo me sì beh è una di quelle cose // che proprio con l''età ti viene x te // no no // un giorno ti trovi lì non	sai	perché ma // a lui le cose pratiche non sono mai piaciute // no ma no perché un giorno ti tro~ // ecco // // no ma m~ // xx quello
KIPasti	KPC002	1170-2	1170-2	PKP093	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=2500607&end=2503797	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	0-Students	M	_	21-25	no	_	_	_	vedi un cantiere // manca poco eh // vede ve~ sessantacinque settanta insomma // // vedi vedi questo cantiere // e non	sai	perché ma senti una una certa attrazione dici // no // no quello guarda // no // per non si sa quale motivo dici ma perché
KIPasti	KPC002	1317-1	1317-1	PKP056	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=2735065&end=2737991	free-conversation	00:49:39	3	symmetric	no	free	2020	AR	2-Professionals	F	_	51-55	no	_	_	_	// questa questa è grande eh bisogna ammettere // // il grande gianni togni // unico inimitabile // mamma mia // // ma // lo	sai	quando facevo il cantiere c''avevo il cantiere lì de mh // del mh gazebo insomma del // in che senso c''avevo il cantiere //
ParlaTO	PTA001	1321-2	1321-2	TOR002	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA001&begin=2513500&end=2516601	semistructured-interview	01:32:30	3	asymmetric	yes	fixed	2019	TO	2-Professionals	M	_	26-30	no	_	_	_	che // che cacchio ne so che ha l''autoscuola che mette qualcosa // mhmh // eh però // poca roba // no // eh // anche perchè	sai	cosa? il discorso delle sponsorizzazioni è che // molto spesso una volta // c''era un rientro in nero sostanzialmente //
ParlaTO	PTA001	1763-12	1763-12	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA001&begin=3340110&end=3343702	semistructured-interview	01:32:30	3	asymmetric	yes	fixed	2019	TO	2-Professionals	F	_	26-30	yes	_	Filler	_	// ho visto uno spicchio atipico allora // mah può essere cioè anche perchè noi eravamo veramente quattro gatti quindi	sai	// mah // vai // sìsì // cioè // e // ce n''è sei da fuori e sembra che sono tutti da fuori invece sei veramente due sfigati // xx
ParlaTO	PTA001	1802-1	1802-1	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA001&begin=3427510&end=3432707	semistructured-interview	01:32:30	3	asymmetric	yes	fixed	2019	TO	2-Professionals	F	_	26-30	yes	Presa di turno|Marcatura della conoscenza condivisa	Introduzione o ripresa del topic	_	come fai a farle così male // quello che cos''è? a che bello sìsìsìsìsìsì // vai // vai // ehi // cosa vuoi? ehi // vai // ma	sai	poi torino comunque anche solo il fatto che la vita costi molto di meno riesci a godertela anche un po'' di più // sì sì sì //
ParlaTO	PTA001	2665-0	2665-0	TOR002	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA001&begin=5379110&end=5380301	semistructured-interview	01:32:30	3	asymmetric	yes	fixed	2019	TO	2-Professionals	M	_	26-30	no	_	_	_	te ne avanza una // eh // ehsì che ne avanza una xxx // eh // // ma a te quante ne avanzano adesso? // una // mh // è quella che //	sai	cosa faccio? // nel gioco mancano un paio di car~ // io vado sulla giocata monocarta // che sei xxx eh ho capito ho capito ho
KIPasti	KPS002	331-1	331-1	PKP103	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS002&begin=698635&end=700173	free-conversation	00:37:23	3	symmetric	no	free	2023	CZ	0-Students	F	_	21-25	no	_	_	_	marracash non non c''è // // io penso // la trippa // eh la trippa sì // non è morzello sono mh // la preferisco al morzello // e	sai	che non sono mai andata alla // come si chiama? sempre da pepe? // da beppe // beppe // no come si chiama? // i fratelli che
KIPasti	KPS002	418-10	418-10	PKP105	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS002&begin=864296&end=868210	free-conversation	00:37:23	3	symmetric	no	free	2023	CZ	2-Professionals	F	_	51-55	yes	Richiesta di accordo/conferma|Marcatura della conoscenza condivisa	_	_	advisor // con cinquecento commenti positivi // perchè quello che interessa sono quelle negative quelle positive eh	sai	no // si possono essere tutte positive // si ma su cinquecentotre recensioni // si // vabbè vedi che sono tre negative può
KIPasti	KPS002	970-2	970-2	PKP105	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS002&begin=1989686&end=1993991	free-conversation	00:37:23	3	symmetric	no	free	2023	CZ	2-Professionals	F	_	51-55	yes	Marcatura della conoscenza condivisa	_	_	po'' il me~ maestrino a volte // sì sì sì sì // però // insomma quindi dico magari non è tutta colpa mia insomma // vabbè però	sai	la cina non è un paese è quasi un continente // se non mi hanno dato delle basi buone // ammazza sì si // capito // percui mh
KIPasti	KPN019	185-3	185-3	PKP009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN019&begin=514605&end=517905	free-conversation	00:30:06	4	symmetric	no	free	2020	VE	2-Professionals	F	_	56-60	no	_	_	_	basta un''insalatina? // #un pochetìn de bacaeà bacaeà co l''insalatina in umido // no // tong // xx // eh? // prenditelo tu	sai	dove l''hai messo // #ti more cossa ti vol? // # al fio ghe domando e a ti no ti se in dieta // quello che c''è // #po'' a se mette
